567,Ay Ay Ay de miii,132
190,Trabajando para usted,3874
652,Paseando con la kuky,75400
652,¡Ay! no puede ser más lindo,56783
806,L@s estudiantes de INFO081 son sec@s,12666
652,Holi a tods!!!,123
111,Un cuento es una novela depurada de ripios, 432
911,Cuando pierdas, no pierdas la lección,6542
873,La vida es una aventura, atrévete,999
777,El valor de una idea radica en su uso,333
345,Si la oportunidad no llama, construye una puerta,3728
567,Discreto, fino y sencillo son joyas resplandecientes con las que el hombre que es hombre se luce decentemente,3213
